,AS OF MARCH 2025,,,,,,,,,,,,,,,,,,,
Item No.,Accession No. old,Author,Title,Subtitle,Edition,Publication,Place of Publication,Page,Dimension,Subject,Added Entry Author,Call No.,Copyright date,Remarks,ISBN,No. of Copies,MB Bar code no.,Donated by,Location,Status
721,,Reader's Digest,Book of FACTS,"People, Places, Science & Technology, Animals & Planta, Atrs& Entertainment, The Earth, The Universe",,Reader's Digest,Australia,432,29cm,Encyclopedias and Dictionaries. 2. Curiosities and wonders,,MAR AG 243 R43 1995,1995,,0-86438-653-2,1,MAR-D-CIR-000001,,CIRCULATION,ON-SHELF
38,,C.E.M Joad,Guide to Philosophy,,,Dover Publications,United States of America,592,20 cm,Philosophy,,CIR B 72 J63 1936,1936,,486-20297-6,,MAR-D-CIR-000002,,CIRCULATION,ON-SHELF
94,,Samuel Enoch Stumph,Socrates to Sarte,A History of Philosophy,6th,The McGraw-Hill Companies Inc.,New York,530,21 cm,Psychology,,CIR B 72 S79 1999,1999,,0-07-289868-2,,MAR-D-CIR-000003,,CIRCULATION,ON-SHELF
142,,Brooke Noel Moore & Richard Parker,Critical Thinking,,12th,Mc-Graw Hill Publication,United States of America,481,26 cm,Critical Thinking,,CIR B 105 M66 2017 c.1,2017,,978-1-259-92131-5,,MAR-D-CIR-000004,,CIRCULATION,ON-SHELF
142,,Brooke Noel Moore & Richard Parker,Critical Thinking,,12th,Mc-Graw Hill Publication,United States of America,481,26 cm,Critical Thinking,,CIR B 105 M66 2017 c.2,2017,,978-1-259-92131-5,,MAR-D-CIR-000005,,CIRCULATION,ON-SHELF
142,,Brooke Noel Moore & Richard Parker,Critical Thinking,,12th,Mc-Graw Hill Publication,United States of America,481,26 cm,Critical Thinking,,CIR B 105 M66 2017 c.3,2017,,978-1-259-92131-5,,MAR-D-CIR-000006,,CIRCULATION,ON-SHELF
144,,Brooke Noel Moore & Richard Parker,Critical Thinking,,12th,Mc-Graw Hill Publication,United States of America,481,26 cm,Critical Thinking,,CIR B 105 M66 2017 c.4,2017,,978-1-259-92131-5,,MAR-D-CIR-000007,,CIRCULATION,ON-SHELF
,,"Bachburr, Andrew H.",Introduction to Logic,,,Meredith Publishing Company,"San Jose, Quezon City",332,20cm,Logic,,MAR BC 108 A53 1952,1952,,97108-1300-5,,MAR-D-CIR-000008,,CIRCULATION,ON-SHELF
130,,Irving M. Copi,Introduction to Logic,,13th,Pearson Education South Asia Pte Ltd.,Philippines,670,23 cm,Logic,Carl Cohen,CIR BC 108 C67 2009 c.1,2009,,978-981-0697-56-3,,MAR-D-CIR-000009,,CIRCULATION,ON-SHELF
131,,Irving M. Copi,Introduction to Logic,,13th,Pearson Education South Asia Pte Ltd.,Philippines,670,23 cm,Logic,Carl Cohen,CIR BC 108 C67 2009 c.2,2009,,978-981-0697-56-3,,MAR-D-CIR-000010,,CIRCULATION,ON-SHELF
132,,Irving M. Copi,Introduction to Logic,,13th,Pearson Education South Asia Pte Ltd.,Philippines,670,23 cm,Logic,Carl Cohen,CIR BC 108 C67 2009 c.3,2009,,978-981-0697-56-3,,MAR-D-CIR-000011,,CIRCULATION,ON-SHELF
